statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
add 36 and 48,36,48,x+y,84
add 45 and 33,45,33,x+y,78
add 14 and 68,14,68,x+y,82
add 72 and 22,72,22,x+y,94
add 92 and 43,92,43,x+y,135
add 44 and 68,44,68,x+y,112
add 96 and 69,96,69,x+y,165
add 28 and 56,28,56,x+y,84
add 97 and 13,97,13,x+y,110
add 87 and 23,87,23,x+y,110
add 65 and 48,65,48,x+y,113
add 69 and 46,69,46,x+y,115
add 84 and 68,84,68,x+y,152
add 48 and 2,48,2,x+y,50
add 26 and 43,26,43,x+y,69
add 19 and 67,19,67,x+y,86
add 41 and 60,41,60,x+y,101
add 49 and 62,49,62,x+y,111
add 75 and 65,75,65,x+y,140
add 75 and 79,75,79,x+y,154
add 47 and 32,47,32,x+y,79
add 30 and 24,30,24,x+y,54
add 79 and 32,79,32,x+y,111
add 56 and 64,56,64,x+y,120
add 42 and 16,42,16,x+y,58
add 75 and 98,75,98,x+y,173
add 36 and 97,36,97,x+y,133
add 2 and 37,2,37,x+y,39
add 2 and 25,2,25,x+y,27
add 69 and 31,69,31,x+y,100
add 7 and 47,7,47,x+y,54
add 3 and 84,3,84,x+y,87
add 37 and 97,37,97,x+y,134
add 90 and 83,90,83,x+y,173
add 16 and 6,16,6,x+y,22
add 85 and 80,85,80,x+y,165
add 86 and 96,86,96,x+y,182
add 71 and 77,71,77,x+y,148
add 58 and 98,58,98,x+y,156
add 87 and 41,87,41,x+y,128
add 41 and 71,41,71,x+y,112
add 49 and 82,49,82,x+y,131
add 56 and 37,56,37,x+y,93
add 9 and 14,9,14,x+y,23
add 3 and 37,3,37,x+y,40
add 25 and 34,25,34,x+y,59
add 10 and 97,10,97,x+y,107
add 56 and 98,56,98,x+y,154
add 16 and 67,16,67,x+y,83
add 76 and 18,76,18,x+y,94
add 64 and 2,64,2,x+y,66
add 38 and 47,38,47,x+y,85
add 76 and 85,76,85,x+y,161
add 99 and 82,99,82,x+y,181
add 73 and 31,73,31,x+y,104
add 41 and 36,41,36,x+y,77
add 67 and 52,67,52,x+y,119
add 57 and 42,57,42,x+y,99
add 29 and 82,29,82,x+y,111
add 74 and 61,74,61,x+y,135
add 16 and 61,16,61,x+y,77
add 68 and 27,68,27,x+y,95
add 63 and 84,63,84,x+y,147
add 91 and 87,91,87,x+y,178
add 90 and 93,90,93,x+y,183
add 71 and 20,71,20,x+y,91
add 38 and 55,38,55,x+y,93
add 95 and 82,95,82,x+y,177
add 92 and 28,92,28,x+y,120
add 16 and 16,16,16,x+y,32
add 61 and 10,61,10,x+y,71
add 72 and 14,72,14,x+y,86
add 75 and 9,75,9,x+y,84
add 65 and 6,65,6,x+y,71
add 27 and 24,27,24,x+y,51
add 70 and 20,70,20,x+y,90
add 41 and 45,41,45,x+y,86
add 68 and 22,68,22,x+y,90
add 36 and 7,36,7,x+y,43
add 90 and 70,90,70,x+y,160
add 9 and 1,9,1,x+y,10
add 4 and 13,4,13,x+y,17
add 31 and 99,31,99,x+y,130
add 79 and 24,79,24,x+y,103
add 79 and 8,79,8,x+y,87
add 60 and 41,60,41,x+y,101
add 18 and 85,18,85,x+y,103
add 35 and 45,35,45,x+y,80
add 5 and 42,5,42,x+y,47
add 41 and 47,41,47,x+y,88
add 51 and 2,51,2,x+y,53
add 65 and 7,65,7,x+y,72
add 79 and 57,79,57,x+y,136
add 71 and 84,71,84,x+y,155
add 47 and 12,47,12,x+y,59
add 11 and 68,11,68,x+y,79
add 9 and 70,9,70,x+y,79
add 74 and 66,74,66,x+y,140
add 81 and 7,81,7,x+y,88
add 19 and 26,19,26,x+y,45
add 20 and 11,20,11,x+y,31
add 24 and 68,24,68,x+y,92
add 55 and 28,55,28,x+y,83
add 88 and 44,88,44,x+y,132
add 66 and 53,66,53,x+y,119
add 46 and 66,46,66,x+y,112
add 41 and 25,41,25,x+y,66
add 12 and 40,12,40,x+y,52
add 87 and 8,87,8,x+y,95
add 89 and 6,89,6,x+y,95
add 64 and 97,64,97,x+y,161
add 77 and 7,77,7,x+y,84
add 1 and 88,1,88,x+y,89
add 97 and 31,97,31,x+y,128
add 73 and 37,73,37,x+y,110
add 91 and 74,91,74,x+y,165
add 76 and 97,76,97,x+y,173
add 35 and 84,35,84,x+y,119
add 5 and 22,5,22,x+y,27
add 41 and 88,41,88,x+y,129
add 55 and 60,55,60,x+y,115
add 50 and 64,50,64,x+y,114
add 16 and 14,16,14,x+y,30
add 70 and 78,70,78,x+y,148
add 99 and 6,99,6,x+y,105
add 52 and 68,52,68,x+y,120
add 19 and 65,19,65,x+y,84
add 1 and 84,1,84,x+y,85
add 24 and 34,24,34,x+y,58
add 2 and 40,2,40,x+y,42
add 3 and 83,3,83,x+y,86
add 80 and 99,80,99,x+y,179
add 53 and 16,53,16,x+y,69
add 32 and 33,32,33,x+y,65
add 16 and 49,16,49,x+y,65
add 43 and 6,43,6,x+y,49
add 81 and 31,81,31,x+y,112
add 7 and 76,7,76,x+y,83
add 93 and 74,93,74,x+y,167
add 94 and 26,94,26,x+y,120
add 46 and 9,46,9,x+y,55
add 31 and 13,31,13,x+y,44
add 30 and 26,30,26,x+y,56
add 39 and 12,39,12,x+y,51
add 39 and 86,39,86,x+y,125
add 97 and 89,97,89,x+y,186
add 87 and 60,87,60,x+y,147
add 75 and 59,75,59,x+y,134
add 65 and 75,65,75,x+y,140
add 2 and 3,2,3,x+y,5
add 43 and 45,43,45,x+y,88
add 38 and 73,38,73,x+y,111
add 18 and 58,18,58,x+y,76
add 96 and 64,96,64,x+y,160
add 28 and 89,28,89,x+y,117
add 14 and 59,14,59,x+y,73
add 56 and 48,56,48,x+y,104
add 37 and 65,37,65,x+y,102
add 21 and 57,21,57,x+y,78
add 62 and 10,62,10,x+y,72
add 80 and 39,80,39,x+y,119
add 50 and 31,50,31,x+y,81
add 95 and 97,95,97,x+y,192
add 94 and 87,94,87,x+y,181
add 42 and 1,42,1,x+y,43
add 86 and 17,86,17,x+y,103
add 55 and 57,55,57,x+y,112
add 50 and 15,50,15,x+y,65
add 39 and 90,39,90,x+y,129
add 38 and 71,38,71,x+y,109
add 89 and 49,89,49,x+y,138
add 93 and 73,93,73,x+y,166
add 78 and 80,78,80,x+y,158
add 45 and 56,45,56,x+y,101
add 81 and 37,81,37,x+y,118
add 29 and 15,29,15,x+y,44
add 28 and 34,28,34,x+y,62
add 66 and 69,66,69,x+y,135
add 37 and 34,37,34,x+y,71
add 69 and 22,69,22,x+y,91
add 85 and 76,85,76,x+y,161
add 16 and 49,16,49,x+y,65
add 86 and 39,86,39,x+y,125
add 58 and 23,58,23,x+y,81
add 28 and 49,28,49,x+y,77
add 34 and 85,34,85,x+y,119
add 99 and 68,99,68,x+y,167
add 45 and 84,45,84,x+y,129
add 4 and 33,4,33,x+y,37
add 70 and 34,70,34,x+y,104
add 31 and 44,31,44,x+y,75
add 46 and 68,46,68,x+y,114
add 67 and 42,67,42,x+y,109
add 1 and 49,1,49,x+y,50
add 92 and 36,92,36,x+y,128
add 42 and 89,42,89,x+y,131
add 81 and 14,81,14,x+y,95
add 63 and 10,63,10,x+y,73
add 41 and 66,41,66,x+y,107
add 41 and 13,41,13,x+y,54
add 68 and 92,68,92,x+y,160
add 80 and 87,80,87,x+y,167
add 44 and 16,44,16,x+y,60
add 6 and 24,6,24,x+y,30
add 79 and 50,79,50,x+y,129
add 97 and 2,97,2,x+y,99
add 26 and 47,26,47,x+y,73
add 70 and 60,70,60,x+y,130
add 33 and 80,33,80,x+y,113
add 98 and 82,98,82,x+y,180
add 99 and 26,99,26,x+y,125
add 71 and 81,71,81,x+y,152
add 48 and 17,48,17,x+y,65
add 82 and 16,82,16,x+y,98
add 55 and 78,55,78,x+y,133
add 62 and 28,62,28,x+y,90
add 35 and 25,35,25,x+y,60
add 29 and 11,29,11,x+y,40
add 15 and 52,15,52,x+y,67
add 23 and 35,23,35,x+y,58
add 20 and 70,20,70,x+y,90
add 12 and 10,12,10,x+y,22
add 24 and 36,24,36,x+y,60
add 46 and 88,46,88,x+y,134
add 44 and 57,44,57,x+y,101
add 33 and 20,33,20,x+y,53
add 48 and 21,48,21,x+y,69
add 6 and 44,6,44,x+y,50
add 80 and 78,80,78,x+y,158
add 49 and 94,49,94,x+y,143
add 49 and 18,49,18,x+y,67
add 7 and 73,7,73,x+y,80
add 27 and 83,27,83,x+y,110
add 11 and 43,11,43,x+y,54
add 13 and 76,13,76,x+y,89
add 22 and 55,22,55,x+y,77
add 65 and 89,65,89,x+y,154
add 83 and 28,83,28,x+y,111
add 32 and 8,32,8,x+y,40
add 33 and 63,33,63,x+y,96
add 41 and 64,41,64,x+y,105
add 79 and 34,79,34,x+y,113
add 14 and 4,14,4,x+y,18
add 5 and 63,5,63,x+y,68
add 13 and 76,13,76,x+y,89
add 17 and 62,17,62,x+y,79
add 76 and 2,76,2,x+y,78
add 94 and 90,94,90,x+y,184
add 27 and 88,27,88,x+y,115
add 3 and 57,3,57,x+y,60
add 68 and 66,68,66,x+y,134
add 47 and 79,47,79,x+y,126
add 56 and 61,56,61,x+y,117
add 65 and 97,65,97,x+y,162
add 11 and 11,11,11,x+y,22
add 62 and 60,62,60,x+y,122
add 58 and 49,58,49,x+y,107
add 65 and 96,65,96,x+y,161
add 24 and 89,24,89,x+y,113
add 92 and 51,92,51,x+y,143
add 83 and 76,83,76,x+y,159
add 7 and 78,7,78,x+y,85
add 5 and 46,5,46,x+y,51
add 71 and 39,71,39,x+y,110
add 32 and 51,32,51,x+y,83
add 59 and 42,59,42,x+y,101
add 12 and 78,12,78,x+y,90
add 20 and 19,20,19,x+y,39
add 95 and 18,95,18,x+y,113
add 37 and 64,37,64,x+y,101
add 27 and 97,27,97,x+y,124
add 3 and 46,3,46,x+y,49
add 91 and 37,91,37,x+y,128
add 17 and 44,17,44,x+y,61
add 54 and 40,54,40,x+y,94
add 76 and 21,76,21,x+y,97
add 26 and 91,26,91,x+y,117
add 33 and 62,33,62,x+y,95
add 57 and 45,57,45,x+y,102
add 70 and 63,70,63,x+y,133
add 27 and 25,27,25,x+y,52
add 26 and 66,26,66,x+y,92
add 56 and 6,56,6,x+y,62
add 5 and 23,5,23,x+y,28
add 16 and 82,16,82,x+y,98
add 84 and 33,84,33,x+y,117
add 99 and 15,99,15,x+y,114
add 84 and 89,84,89,x+y,173
add 28 and 13,28,13,x+y,41
add 8 and 59,8,59,x+y,67
add 91 and 14,91,14,x+y,105
add 5 and 37,5,37,x+y,42
add 35 and 44,35,44,x+y,79
add 9 and 60,9,60,x+y,69
add 37 and 24,37,24,x+y,61
add 86 and 29,86,29,x+y,115
add 29 and 37,29,37,x+y,66
add 34 and 33,34,33,x+y,67
add 60 and 38,60,38,x+y,98
add 65 and 11,65,11,x+y,76
add 20 and 45,20,45,x+y,65
add 39 and 4,39,4,x+y,43
add 13 and 17,13,17,x+y,30
add 13 and 83,13,83,x+y,96
add 26 and 85,26,85,x+y,111
add 81 and 94,81,94,x+y,175
add 98 and 35,98,35,x+y,133
add 88 and 29,88,29,x+y,117
add 18 and 62,18,62,x+y,80
add 16 and 57,16,57,x+y,73
add 22 and 96,22,96,x+y,118
add 37 and 31,37,31,x+y,68
add 17 and 61,17,61,x+y,78
add 82 and 77,82,77,x+y,159
add 69 and 46,69,46,x+y,115
add 54 and 45,54,45,x+y,99
add 38 and 66,38,66,x+y,104
add 76 and 99,76,99,x+y,175
add 35 and 46,35,46,x+y,81
add 18 and 33,18,33,x+y,51
add 2 and 55,2,55,x+y,57
add 48 and 95,48,95,x+y,143
add 17 and 55,17,55,x+y,72
add 8 and 86,8,86,x+y,94
add 12 and 12,12,12,x+y,24
add 88 and 42,88,42,x+y,130
add 14 and 11,14,11,x+y,25
add 74 and 5,74,5,x+y,79
add 65 and 49,65,49,x+y,114
add 45 and 27,45,27,x+y,72
add 18 and 25,18,25,x+y,43
add 41 and 34,41,34,x+y,75
add 99 and 89,99,89,x+y,188
add 81 and 71,81,71,x+y,152
add 71 and 32,71,32,x+y,103
add 28 and 11,28,11,x+y,39
add 22 and 50,22,50,x+y,72
add 88 and 25,88,25,x+y,113
add 8 and 45,8,45,x+y,53
add 16 and 11,16,11,x+y,27
add 6 and 62,6,62,x+y,68
add 19 and 55,19,55,x+y,74
add 49 and 28,49,28,x+y,77
add 38 and 42,38,42,x+y,80
add 69 and 10,69,10,x+y,79
add 3 and 48,3,48,x+y,51
add 56 and 86,56,86,x+y,142
add 75 and 51,75,51,x+y,126
add 38 and 87,38,87,x+y,125
add 94 and 85,94,85,x+y,179
add 98 and 94,98,94,x+y,192
add 41 and 29,41,29,x+y,70
add 24 and 91,24,91,x+y,115
add 14 and 14,14,14,x+y,28
add 57 and 78,57,78,x+y,135
add 95 and 83,95,83,x+y,178
add 63 and 69,63,69,x+y,132
add 87 and 63,87,63,x+y,150
add 65 and 46,65,46,x+y,111
add 5 and 13,5,13,x+y,18
add 66 and 26,66,26,x+y,92
add 57 and 84,57,84,x+y,141
add 97 and 84,97,84,x+y,181
add 72 and 86,72,86,x+y,158
add 6 and 98,6,98,x+y,104
add 32 and 87,32,87,x+y,119
add 60 and 68,60,68,x+y,128
add 32 and 52,32,52,x+y,84
add 49 and 23,49,23,x+y,72
add 78 and 22,78,22,x+y,100
add 63 and 41,63,41,x+y,104
add 96 and 57,96,57,x+y,153
add 74 and 87,74,87,x+y,161
add 14 and 90,14,90,x+y,104
add 85 and 93,85,93,x+y,178
add 18 and 13,18,13,x+y,31
add 13 and 76,13,76,x+y,89
add 69 and 11,69,11,x+y,80
add 42 and 89,42,89,x+y,131
add 61 and 13,61,13,x+y,74
add 67 and 57,67,57,x+y,124
add 15 and 47,15,47,x+y,62
add 83 and 88,83,88,x+y,171
add 14 and 40,14,40,x+y,54
add 47 and 30,47,30,x+y,77
add 55 and 17,55,17,x+y,72
add 66 and 67,66,67,x+y,133
add 92 and 1,92,1,x+y,93
add 94 and 96,94,96,x+y,190
add 45 and 72,45,72,x+y,117
add 22 and 31,22,31,x+y,53
add 10 and 41,10,41,x+y,51
add 32 and 46,32,46,x+y,78
add 36 and 65,36,65,x+y,101
add 44 and 86,44,86,x+y,130
add 62 and 98,62,98,x+y,160
add 73 and 56,73,56,x+y,129
add 51 and 60,51,60,x+y,111
add 69 and 12,69,12,x+y,81
add 57 and 74,57,74,x+y,131
add 47 and 63,47,63,x+y,110
add 68 and 77,68,77,x+y,145
add 85 and 83,85,83,x+y,168
add 97 and 84,97,84,x+y,181
add 83 and 44,83,44,x+y,127
add 15 and 62,15,62,x+y,77
add 11 and 93,11,93,x+y,104
add 10 and 96,10,96,x+y,106
add 73 and 19,73,19,x+y,92
add 84 and 60,84,60,x+y,144
add 34 and 31,34,31,x+y,65
add 96 and 46,96,46,x+y,142
add 60 and 23,60,23,x+y,83
add 39 and 81,39,81,x+y,120
add 9 and 59,9,59,x+y,68
add 96 and 62,96,62,x+y,158
add 35 and 22,35,22,x+y,57
add 29 and 47,29,47,x+y,76
add 2 and 61,2,61,x+y,63
add 19 and 40,19,40,x+y,59
add 29 and 23,29,23,x+y,52
add 12 and 42,12,42,x+y,54
add 27 and 50,27,50,x+y,77
add 54 and 34,54,34,x+y,88
add 44 and 68,44,68,x+y,112
add 49 and 21,49,21,x+y,70
add 18 and 21,18,21,x+y,39
add 12 and 34,12,34,x+y,46
add 68 and 33,68,33,x+y,101
add 96 and 72,96,72,x+y,168
add 14 and 67,14,67,x+y,81
add 40 and 97,40,97,x+y,137
add 29 and 54,29,54,x+y,83
add 48 and 77,48,77,x+y,125
add 95 and 12,95,12,x+y,107
add 89 and 83,89,83,x+y,172
add 3 and 72,3,72,x+y,75
add 57 and 13,57,13,x+y,70
add 28 and 25,28,25,x+y,53
add 26 and 68,26,68,x+y,94
add 53 and 99,53,99,x+y,152
add 68 and 33,68,33,x+y,101
add 70 and 7,70,7,x+y,77
add 56 and 24,56,24,x+y,80
add 57 and 68,57,68,x+y,125
add 62 and 81,62,81,x+y,143
add 55 and 91,55,91,x+y,146
add 64 and 14,64,14,x+y,78
add 58 and 44,58,44,x+y,102
add 3 and 99,3,99,x+y,102
add 93 and 25,93,25,x+y,118
add 35 and 22,35,22,x+y,57
add 85 and 85,85,85,x+y,170
add 15 and 17,15,17,x+y,32
add 76 and 17,76,17,x+y,93
add 43 and 61,43,61,x+y,104
add 52 and 65,52,65,x+y,117
add 25 and 73,25,73,x+y,98
add 43 and 71,43,71,x+y,114
add 7 and 57,7,57,x+y,64
add 12 and 96,12,96,x+y,108
add 96 and 93,96,93,x+y,189
add 83 and 53,83,53,x+y,136
add 69 and 49,69,49,x+y,118
add 2 and 59,2,59,x+y,61
add 69 and 57,69,57,x+y,126
add 74 and 70,74,70,x+y,144
add 28 and 36,28,36,x+y,64
add 3 and 71,3,71,x+y,74
add 35 and 19,35,19,x+y,54
add 7 and 47,7,47,x+y,54
add 72 and 40,72,40,x+y,112
add 37 and 77,37,77,x+y,114
add 33 and 84,33,84,x+y,117
add 36 and 66,36,66,x+y,102
add 23 and 2,23,2,x+y,25
add 94 and 10,94,10,x+y,104
add 5 and 87,5,87,x+y,92
add 40 and 21,40,21,x+y,61
add 53 and 15,53,15,x+y,68
add 2 and 57,2,57,x+y,59
add 43 and 34,43,34,x+y,77
add 33 and 14,33,14,x+y,47
add 25 and 57,25,57,x+y,82
add 81 and 78,81,78,x+y,159
add 16 and 84,16,84,x+y,100
add 47 and 98,47,98,x+y,145
add 53 and 58,53,58,x+y,111
add 84 and 31,84,31,x+y,115
add 93 and 57,93,57,x+y,150
add 8 and 94,8,94,x+y,102
add 74 and 10,74,10,x+y,84
add 69 and 36,69,36,x+y,105
add 2 and 43,2,43,x+y,45
add 44 and 97,44,97,x+y,141
add 51 and 20,51,20,x+y,71
add 24 and 84,24,84,x+y,108
add 4 and 6,4,6,x+y,10
add 82 and 15,82,15,x+y,97
add 56 and 61,56,61,x+y,117
add 34 and 66,34,66,x+y,100
add 69 and 36,69,36,x+y,105
add 65 and 96,65,96,x+y,161
add 43 and 79,43,79,x+y,122
add 20 and 48,20,48,x+y,68
add 76 and 7,76,7,x+y,83
add 18 and 31,18,31,x+y,49
add 69 and 97,69,97,x+y,166
add 67 and 83,67,83,x+y,150
add 85 and 21,85,21,x+y,106
add 61 and 74,61,74,x+y,135
add 58 and 28,58,28,x+y,86
add 7 and 98,7,98,x+y,105
add 78 and 62,78,62,x+y,140
add 62 and 59,62,59,x+y,121
add 60 and 15,60,15,x+y,75
add 4 and 98,4,98,x+y,102
add 28 and 52,28,52,x+y,80
add 55 and 49,55,49,x+y,104
add 25 and 40,25,40,x+y,65
add 26 and 22,26,22,x+y,48
add 57 and 93,57,93,x+y,150
add 33 and 30,33,30,x+y,63
add 51 and 77,51,77,x+y,128
add 56 and 30,56,30,x+y,86
add 63 and 26,63,26,x+y,89
add 25 and 23,25,23,x+y,48
add 15 and 56,15,56,x+y,71
add 85 and 89,85,89,x+y,174
add 40 and 41,40,41,x+y,81
add 31 and 93,31,93,x+y,124
add 96 and 71,96,71,x+y,167
add 87 and 77,87,77,x+y,164
add 91 and 34,91,34,x+y,125
add 41 and 43,41,43,x+y,84
add 71 and 81,71,81,x+y,152
add 64 and 15,64,15,x+y,79
add 31 and 67,31,67,x+y,98
add 42 and 36,42,36,x+y,78
add 52 and 43,52,43,x+y,95
add 24 and 79,24,79,x+y,103
add 73 and 31,73,31,x+y,104
add 14 and 20,14,20,x+y,34
add 51 and 25,51,25,x+y,76
add 57 and 21,57,21,x+y,78
add 99 and 55,99,55,x+y,154
add 5 and 53,5,53,x+y,58
add 56 and 95,56,95,x+y,151
add 78 and 68,78,68,x+y,146
add 23 and 26,23,26,x+y,49
add 65 and 71,65,71,x+y,136
add 92 and 27,92,27,x+y,119
add 49 and 87,49,87,x+y,136
add 63 and 55,63,55,x+y,118
add 65 and 65,65,65,x+y,130
add 33 and 30,33,30,x+y,63
add 24 and 21,24,21,x+y,45
add 63 and 76,63,76,x+y,139
add 31 and 22,31,22,x+y,53
add 65 and 64,65,64,x+y,129
add 66 and 63,66,63,x+y,129
add 94 and 61,94,61,x+y,155
add 19 and 83,19,83,x+y,102
add 43 and 62,43,62,x+y,105
add 63 and 92,63,92,x+y,155
add 3 and 62,3,62,x+y,65
add 85 and 79,85,79,x+y,164
add 9 and 14,9,14,x+y,23
add 65 and 38,65,38,x+y,103
add 50 and 7,50,7,x+y,57
add 49 and 55,49,55,x+y,104
add 36 and 7,36,7,x+y,43
add 40 and 76,40,76,x+y,116
add 38 and 18,38,18,x+y,56
add 79 and 18,79,18,x+y,97
add 46 and 71,46,71,x+y,117
add 82 and 81,82,81,x+y,163
add 90 and 60,90,60,x+y,150
add 79 and 38,79,38,x+y,117
add 64 and 1,64,1,x+y,65
add 57 and 32,57,32,x+y,89
add 16 and 49,16,49,x+y,65
add 87 and 62,87,62,x+y,149
add 97 and 27,97,27,x+y,124
add 13 and 22,13,22,x+y,35
add 59 and 23,59,23,x+y,82
add 62 and 35,62,35,x+y,97
add 7 and 84,7,84,x+y,91
add 76 and 3,76,3,x+y,79
add 98 and 17,98,17,x+y,115
add 21 and 21,21,21,x+y,42
add 83 and 90,83,90,x+y,173
add 90 and 17,90,17,x+y,107
add 85 and 68,85,68,x+y,153
add 37 and 25,37,25,x+y,62
add 72 and 7,72,7,x+y,79
add 40 and 80,40,80,x+y,120
add 20 and 51,20,51,x+y,71
add 95 and 35,95,35,x+y,130
add 16 and 1,16,1,x+y,17
add 68 and 80,68,80,x+y,148
add 58 and 66,58,66,x+y,124
add 17 and 61,17,61,x+y,78
add 38 and 81,38,81,x+y,119
add 29 and 22,29,22,x+y,51
add 11 and 14,11,14,x+y,25
add 12 and 12,12,12,x+y,24
add 27 and 63,27,63,x+y,90
add 91 and 94,91,94,x+y,185
add 21 and 83,21,83,x+y,104
add 71 and 38,71,38,x+y,109
add 21 and 93,21,93,x+y,114
add 46 and 29,46,29,x+y,75
add 60 and 42,60,42,x+y,102
add 81 and 16,81,16,x+y,97
add 21 and 21,21,21,x+y,42
add 80 and 91,80,91,x+y,171
add 18 and 89,18,89,x+y,107
add 68 and 72,68,72,x+y,140
add 76 and 90,76,90,x+y,166
add 24 and 37,24,37,x+y,61
add 25 and 36,25,36,x+y,61
add 52 and 86,52,86,x+y,138
add 44 and 98,44,98,x+y,142
add 47 and 15,47,15,x+y,62
add 63 and 92,63,92,x+y,155
add 64 and 49,64,49,x+y,113
add 30 and 13,30,13,x+y,43
add 21 and 35,21,35,x+y,56
add 60 and 91,60,91,x+y,151
add 56 and 5,56,5,x+y,61
add 49 and 21,49,21,x+y,70
add 97 and 49,97,49,x+y,146
add 88 and 12,88,12,x+y,100
add 52 and 61,52,61,x+y,113
add 90 and 98,90,98,x+y,188
add 79 and 71,79,71,x+y,150
add 77 and 77,77,77,x+y,154
add 99 and 26,99,26,x+y,125
add 63 and 97,63,97,x+y,160
add 27 and 74,27,74,x+y,101
add 7 and 18,7,18,x+y,25
add 94 and 63,94,63,x+y,157
add 93 and 22,93,22,x+y,115
add 78 and 76,78,76,x+y,154
add 93 and 45,93,45,x+y,138
add 54 and 43,54,43,x+y,97
add 99 and 26,99,26,x+y,125
add 19 and 30,19,30,x+y,49
add 31 and 15,31,15,x+y,46
add 3 and 81,3,81,x+y,84
add 53 and 98,53,98,x+y,151
add 59 and 35,59,35,x+y,94
add 11 and 2,11,2,x+y,13
add 34 and 18,34,18,x+y,52
add 28 and 19,28,19,x+y,47
add 6 and 64,6,64,x+y,70
add 19 and 88,19,88,x+y,107
add 18 and 55,18,55,x+y,73
add 42 and 56,42,56,x+y,98
add 73 and 82,73,82,x+y,155
add 4 and 12,4,12,x+y,16
add 35 and 46,35,46,x+y,81
add 19 and 56,19,56,x+y,75
add 62 and 2,62,2,x+y,64
add 4 and 85,4,85,x+y,89
add 99 and 47,99,47,x+y,146
add 79 and 89,79,89,x+y,168
add 5 and 93,5,93,x+y,98
add 97 and 62,97,62,x+y,159
add 41 and 60,41,60,x+y,101
add 37 and 3,37,3,x+y,40
add 5 and 75,5,75,x+y,80
add 60 and 42,60,42,x+y,102
add 4 and 56,4,56,x+y,60
add 20 and 28,20,28,x+y,48
add 51 and 54,51,54,x+y,105
add 77 and 5,77,5,x+y,82
add 54 and 46,54,46,x+y,100
add 24 and 73,24,73,x+y,97
add 31 and 21,31,21,x+y,52
